location,total_sqft,bath,balcony,bhk,price,predicted_price_rf,price_per_sqft
Whitefield,5700.0,5.0,3.0,4.0,650.0,506.7,11403.508771929824
other,1160.0,2.0,2.0,2.0,44.0,46.00748912044959,3793.103448275862
other,3000.0,8.0,0.0,8.0,140.0,164.595,4666.666666666667
other,1100.0,2.0,1.0,2.0,62.0,56.64297445552915,5636.363636363636
other,1140.0,2.0,3.0,2.0,43.0,45.75195825031791,3771.9298245614036
Marathahalli,1220.0,2.0,1.0,2.0,57.0,58.005637770562764,4672.131147540984
other,1350.0,7.0,0.0,8.0,85.0,118.56333333333333,6296.2962962962965
Kanakpura Road,1005.0,2.0,1.0,2.0,36.68,43.66622419913417,3649.7512437810947
other,500.0,3.0,2.0,3.0,100.0,84.27958333333333,20000.0
other,1358.0,2.0,1.0,2.0,80.58,121.32090000000002,5933.726067746687
other,1569.0,3.0,1.0,3.0,101.0,104.19387619047619,6437.221159974506
Haralur Road,1240.0,2.0,1.0,2.0,70.0,61.52950960317463,5645.1612903225805
Hennur Road,2089.0,3.0,2.0,3.0,140.0,142.22104285714286,6701.771182383915
other,1206.0,2.0,1.0,2.0,48.23,100.65232706349201,3999.1708126036483
other,1150.0,2.0,3.0,2.0,40.0,53.56168567251462,3478.2608695652175
other,2511.0,3.0,3.0,3.0,205.0,183.52,8164.078056551175
other,460.0,1.0,0.0,2.0,22.0,20.693883333333332,4782.608695652174
other,4400.0,6.0,3.0,6.0,250.0,344.9975,5681.818181818182
other,1660.0,2.0,2.0,3.0,105.0,101.85990000000001,6325.301204819277
Yelahanka,1326.0,2.0,2.0,2.0,78.0,70.311,5882.35294117647
other,1325.0,2.0,2.0,3.0,60.8,59.83386666666675,4588.679245283019
other,1499.0,5.0,2.0,3.0,102.0,128.7664333333333,6804.536357571715
other,3000.0,7.0,2.0,6.0,210.0,228.88333333333333,7000.0
Kanakpura Road,1665.0,3.0,2.0,3.0,88.0,84.37995809523811,5285.285285285286
other,708.0,2.0,2.0,2.0,37.0,34.46934047619047,5225.988700564972
other,1060.0,2.0,2.0,2.0,58.06,46.256449062465315,5477.358490566037
other,710.0,6.0,3.0,6.0,160.0,98.12,22535.211267605635
other,1000.0,2.0,2.0,2.0,70.0,45.03574508455436,7000.0
Electronic City,1000.0,2.0,1.0,2.0,28.88,30.76505722222221,2888.0
other,1450.0,2.0,2.0,3.0,70.0,80.80908044011541,4827.586206896552
other,1200.0,4.0,2.0,4.0,155.0,171.61884160161964,12916.666666666666
Thanisandra,1296.0,2.0,3.0,2.0,80.0,79.26088333333334,6172.83950617284
other,1540.0,3.0,2.0,3.0,90.0,84.39390819264071,5844.1558441558445
other,2894.0,4.0,1.0,4.0,245.0,220.14666666666665,8465.791292328957
other,1330.0,2.0,1.0,3.0,48.0,49.439800000000005,3609.0225563909776
other,1200.0,2.0,1.0,2.0,65.0,66.6977315562278,5416.666666666667
other,1200.0,3.0,1.0,3.0,90.0,103.0588305964313,7500.0
other,2502.0,3.0,3.0,3.0,138.0,147.48895238095238,5515.587529976019
other,650.0,1.0,1.0,2.0,17.0,26.493666666666673,2615.3846153846152
other,2400.0,2.0,1.0,3.0,150.0,187.51477777777774,6250.0
other,1007.0,2.0,2.0,2.0,43.0,44.87633333333334,4270.109235352532
other,1200.0,2.0,2.0,2.0,50.0,57.5871973877602,4166.666666666667
other,966.0,2.0,2.0,2.0,49.9,49.05706904761903,5165.631469979296
other,1630.0,2.0,1.0,3.0,98.0,100.70649571428572,6012.269938650306
other,1640.0,3.0,2.0,3.0,229.0,216.49240079365077,13963.414634146342
other,782.0,2.0,2.0,2.0,55.68,45.86746666666666,7120.204603580562
other,1260.0,2.0,2.0,2.0,66.78,72.60563153846155,5300.0
other,1800.0,3.0,3.0,3.0,120.0,124.47298726269429,6666.666666666667
other,1413.0,2.0,2.0,3.0,75.0,72.04674904587243,5307.855626326964
Whitefield,1116.0,2.0,1.0,2.0,51.91,51.95164999999993,4651.433691756272
Electronic City,1530.0,2.0,1.0,3.0,45.9,57.65779574314572,3000.0
other,3700.0,4.0,1.0,4.0,225.0,262.3066666666667,6081.081081081081
Sarjapur  Road,2497.0,3.0,2.0,3.0,140.0,166.56571428571428,5606.728073688426
other,1540.0,2.0,3.0,3.0,64.0,68.55039365079365,4155.8441558441555
Thanisandra,1436.0,3.0,1.0,3.0,74.75,95.1824511904762,5205.431754874652
other,1100.0,2.0,2.0,2.0,75.0,52.632757641613324,6818.181818181818
Hennur Road,276.0,3.0,3.0,2.0,23.0,36.27436031746032,8333.333333333334
Thanisandra,1427.0,3.0,2.0,3.0,120.0,107.0015,8409.250175192712
other,2061.0,3.0,1.0,3.0,200.0,174.92927272727272,9704.02717127608
Hebbal,5611.5,4.0,0.0,4.0,477.0,491.99,8500.400962309543
other,2650.0,4.0,2.0,4.0,150.0,237.13583333333332,5660.377358490566
other,1282.0,2.0,2.0,3.0,68.52,56.16356797619053,5344.773790951638
other,1050.0,2.0,1.0,2.0,34.0,54.18199270903312,3238.095238095238
other,1600.0,3.0,2.0,3.0,65.0,106.3725991976015,4062.5
other,945.0,2.0,1.0,2.0,54.0,44.42105499999999,5714.285714285715
other,1500.0,2.0,1.0,2.0,78.0,61.41275,5200.0
other,950.0,7.0,0.0,7.0,115.0,114.84,12105.263157894737
other,1870.0,3.0,3.0,3.0,110.0,156.62077380952383,5882.35294117647
other,1600.0,3.0,1.0,3.0,75.0,108.47252619047615,4687.5
Electronic City,880.0,1.0,1.0,2.0,16.5,27.2561,1875.0
other,1200.0,4.0,0.0,4.0,210.0,134.51330419666337,17500.0
other,1535.0,3.0,2.0,3.0,83.0,82.09691040043292,5407.166123778502
Kanakpura Road,950.0,2.0,1.0,2.0,57.0,48.24180551855695,6000.0
other,1360.0,2.0,1.0,2.0,65.0,73.23752738095236,4779.411764705882
other,1073.5,2.0,0.0,2.0,54.005,52.877665873015914,5030.740568234746
other,1280.0,3.0,1.0,3.0,50.4,49.33907619047619,3937.5
other,1260.0,2.0,2.0,3.0,85.05,63.98399166666667,6750.0
Hennur Road,5000.0,8.0,0.0,8.0,250.0,267.5566666666667,5000.0
Yelahanka,3050.0,5.0,1.0,5.0,213.0,206.51,6983.606557377049
other,1563.05,3.0,1.0,3.0,105.0,107.39233333333334,6717.635392341896
other,1000.0,2.0,1.0,2.0,60.0,47.18313045524569,6000.0
other,1167.0,2.0,1.0,2.0,43.76,48.453091428571476,3749.7857754927163
other,4000.0,7.0,2.0,7.0,225.0,191.9175,5625.0
other,1828.0,3.0,0.0,3.0,110.0,108.95,6017.505470459519
other,890.0,2.0,1.0,2.0,35.0,32.78834285714286,3932.5842696629215
other,1612.0,3.0,3.0,3.0,46.74,56.45886666666659,2899.5037220843674
other,1034.0,5.0,0.0,6.0,185.0,161.66,17891.682785299807
other,1710.0,4.0,2.0,3.0,91.31,115.38729999999998,5339.766081871345
other,957.0,2.0,1.0,2.0,58.0,55.61159126984128,6060.606060606061
other,1250.0,2.0,3.0,3.0,44.0,47.68288466838717,3520.0
other,2795.0,4.0,0.0,3.0,235.0,276.73202380952375,8407.871198568873
other,1125.0,2.0,2.0,2.0,50.0,49.175892624967055,4444.444444444444
Electronic City Phase II,1020.0,2.0,1.0,2.0,30.6,29.6397671103896,3000.0
other,1200.0,2.0,2.0,2.0,50.0,57.5871973877602,4166.666666666667
Thanisandra,1735.0,3.0,3.0,3.0,135.0,112.60589999999995,7780.979827089337
Thanisandra,2050.0,3.0,1.0,3.0,145.0,137.24316666666667,7073.170731707317
other,3750.0,4.0,0.0,4.0,760.0,407.134365079365,20266.666666666668
other,1350.0,2.0,3.0,3.0,48.0,60.66190952380953,3555.5555555555557
other,1063.0,2.0,1.0,2.0,32.0,47.184165476190486,3010.348071495767
other,1904.0,3.0,1.0,3.0,150.0,142.33,7878.151260504202
Whitefield,4200.0,4.0,2.0,4.0,420.0,409.2,10000.0
other,2000.0,3.0,1.0,3.0,175.0,128.94233116883115,8750.0
other,1242.5,2.0,0.0,2.0,43.49,53.03441555555547,3500.201207243461
other,1425.0,2.0,2.0,3.0,75.0,67.39399805555558,5263.1578947368425
Electronic City,1500.0,2.0,1.0,3.0,64.5,75.04244348706847,4300.0
Electronic City,1060.0,2.0,1.0,2.0,60.0,55.288745004995036,5660.377358490566
other,1470.0,2.0,2.0,3.0,70.0,83.61081507936511,4761.9047619047615
other,1300.0,6.0,0.0,6.0,99.0,124.34633333333332,7615.384615384615
other,450.0,1.0,1.0,1.0,11.0,16.460897366522367,2444.4444444444443
Electronic City,1152.0,2.0,1.0,2.0,64.5,63.70333452380951,5598.958333333333
Electronic City,1350.0,2.0,1.0,3.0,56.0,66.77808416666667,4148.148148148148
other,1550.0,3.0,3.0,3.0,65.0,77.07236507936508,4193.548387096775
other,1500.0,3.0,2.0,3.0,100.0,81.3956276318842,6666.666666666667
other,600.0,3.0,2.0,5.0,85.0,86.28083333333333,14166.666666666666
other,400.0,1.0,0.0,1.0,14.0,35.874347619047604,3500.0
other,705.0,1.0,2.0,1.0,67.0,50.997087121212125,9503.54609929078
Electronic City,770.0,1.0,1.0,2.0,36.0,38.564220634920645,4675.324675324675
other,1242.0,2.0,3.0,2.0,51.0,52.35493428571427,4106.280193236715
other,1700.0,3.0,2.0,3.0,155.0,107.13247730047728,9117.64705882353
Thanisandra,2144.0,3.0,2.0,3.0,145.0,138.95893333333336,6763.059701492537
other,1704.0,3.0,2.0,3.0,110.0,104.03400571428575,6455.399061032864
Electronic City,1070.0,2.0,1.0,2.0,52.0,53.50342280721458,4859.813084112149
other,1846.0,3.0,2.0,3.0,300.0,128.54585425685426,16251.354279523293
other,1340.0,2.0,2.0,2.0,55.7,66.7739405844156,4156.7164179104475
Electronic City,1025.0,2.0,1.0,2.0,46.0,45.5175252136752,4487.804878048781
other,1277.5,2.0,0.0,2.0,56.8,82.71051666666665,4446.183953033268
Marathahalli,1200.0,2.0,2.0,2.0,52.0,77.55092857142857,4333.333333333333
Kanakpura Road,2250.0,4.0,1.0,4.0,110.0,156.0564,4888.888888888889
other,1550.0,2.0,3.0,3.0,80.0,70.21490476190475,5161.290322580645
other,1800.0,7.0,1.0,7.0,250.0,198.095,13888.888888888889
Marathahalli,1200.0,2.0,2.0,2.0,60.0,77.55092857142857,5000.0
Yelahanka,1327.0,2.0,2.0,2.0,98.0,88.6415,7385.079125847777
other,1186.0,2.0,2.0,2.0,58.0,60.727910937950945,4890.387858347386
other,1783.0,3.0,1.0,3.0,115.0,109.67172000000006,6449.8037016264725
other,1400.0,3.0,2.0,3.0,56.0,69.00095297461398,4000.0
other,980.0,2.0,1.0,2.0,48.0,47.58488034632034,4897.959183673469
other,1285.0,2.0,2.0,2.0,82.0,69.7321706349206,6381.322957198444
other,912.0,2.0,1.0,3.0,70.0,54.812333333333335,7675.438596491228
Whitefield,1225.0,2.0,2.0,2.0,47.6,51.785446380952386,3885.714285714286
Whitefield,1075.0,2.0,1.0,2.0,53.0,48.85889999999998,4930.232558139535
other,1260.0,2.0,2.0,3.0,54.0,63.98399166666667,4285.714285714285
Yelahanka,1282.0,2.0,2.0,3.0,48.7,73.89010714285718,3798.751950078003
other,1909.0,3.0,2.0,3.0,88.0,110.07333333333334,4609.743321110529
other,1359.0,2.0,1.0,2.0,87.0,85.51353690476189,6401.766004415011
other,1207.0,2.0,2.0,2.0,43.5,53.6633869047619,3603.976801988401
other,1736.0,6.0,0.0,4.0,190.0,172.48309999999998,10944.700460829494
other,2850.0,4.0,1.0,4.0,428.0,315.3175,15017.543859649122
other,1595.0,3.0,2.0,3.0,65.0,72.54935657894741,4075.2351097178685
other,1798.0,3.0,2.0,3.0,89.0,94.31178585283573,4949.944382647386
other,1475.0,3.0,2.0,3.0,78.29,74.7992323809524,5307.796610169492
other,1580.0,3.0,3.0,3.0,100.0,93.20747619047623,6329.113924050633
other,1295.0,2.0,1.0,2.0,65.0,64.03604761904761,5019.305019305019
other,3600.0,6.0,0.0,6.0,141.0,153.28333333333333,3916.6666666666665
Electronic City,589.0,1.0,1.0,1.0,27.0,25.2902,4584.040747028863
other,1415.0,3.0,3.0,3.0,78.0,77.46886666666666,5512.367491166077
Sarjapur  Road,1787.0,3.0,2.0,3.0,98.29,120.5131,5500.279798545048
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0,120.5131,6994.963626189144
other,1475.0,2.0,3.0,3.0,90.0,71.48095184343434,6101.6949152542375
other,2000.0,4.0,1.0,4.0,75.5,150.0113362193362,3775.0
Sarjapur  Road,984.0,2.0,1.0,2.0,44.28,48.02501183705181,4500.0
other,2405.0,4.0,2.0,3.0,260.0,259.68666666666667,10810.81081081081
7th Phase JP Nagar,1080.0,2.0,2.0,2.0,72.0,69.37968563390858,6666.666666666667
other,1500.0,2.0,1.0,2.0,115.0,61.41275,7666.666666666667
Hebbal,1900.0,3.0,2.0,3.0,119.0,121.03958333333334,6263.1578947368425
other,805.0,2.0,1.0,2.0,22.14,27.926300000000012,2750.3105590062114
other,1153.0,2.0,2.0,2.0,56.4,54.1005615169553,4891.587163920208
other,1148.0,2.0,2.0,2.0,60.0,64.59313888888889,5226.480836236934
other,1110.0,2.0,2.0,2.0,55.0,52.366171946109446,4954.954954954955
Electronic City,1100.0,2.0,2.0,2.0,42.0,42.880900000000004,3818.181818181818
other,1290.0,2.0,2.0,2.0,110.0,79.37307658730157,8527.131782945737
other,1500.0,2.0,1.0,3.0,65.0,109.23682366627182,4333.333333333333
other,1080.0,2.0,2.0,2.0,39.0,48.36810860102098,3611.1111111111113
other,1933.0,3.0,1.0,3.0,129.0,138.7,6673.564407656492
other,3500.0,5.0,2.0,5.0,150.0,224.82666666666668,4285.714285714285
other,1060.0,2.0,2.0,2.0,60.0,46.256449062465315,5660.377358490566
other,645.0,1.0,1.0,1.0,16.45,23.702164701801472,2550.3875968992247
other,2600.0,8.0,2.0,8.0,180.0,176.65,6923.076923076923
other,645.0,1.0,1.0,1.0,16.45,23.702164701801472,2550.3875968992247
other,1644.0,3.0,3.0,3.0,84.0,85.47753190476193,5109.489051094891
other,1285.0,2.0,3.0,2.0,72.5,71.63830833333333,5642.023346303502
Electronic City,1200.0,3.0,1.0,3.0,90.0,88.30211472342097,7500.0
Electronic City,910.0,2.0,1.0,2.0,40.0,41.71471666666666,4395.604395604396
other,1577.0,3.0,1.0,3.0,70.0,73.25822499999997,4438.807863031072
other,4050.0,3.0,2.0,3.0,280.0,361.05916666666667,6913.580246913581
other,2420.0,3.0,2.0,3.0,185.0,174.88277777777782,7644.628099173554
other,800.0,1.0,1.0,2.0,20.0,47.859024531024524,2500.0
other,1060.0,2.0,2.0,2.0,55.0,46.256449062465315,5188.679245283019
7th Phase JP Nagar,1270.0,2.0,2.0,2.0,93.0,79.48158333333333,7322.834645669292
other,900.0,2.0,2.0,2.0,22.5,52.52140973590136,2500.0
other,1280.0,2.0,1.0,2.0,69.0,69.356754737587,5390.625
other,1200.0,2.0,0.0,4.0,95.0,96.77677458025026,7916.666666666667
Sarjapur  Road,1025.0,2.0,2.0,2.0,36.0,42.82684285714286,3512.1951219512193
Electronic City,1108.0,2.0,1.0,2.0,63.0,54.42169166666665,5685.9205776173285
other,1200.0,5.0,0.0,5.0,170.0,187.03911840610354,14166.666666666666
other,3045.0,3.0,2.0,3.0,170.0,221.88,5582.922824302134
other,2900.0,3.0,2.0,4.0,300.0,273.882,10344.827586206897
other,1500.0,3.0,2.0,3.0,75.5,81.3956276318842,5033.333333333333
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,43.9,53.61637619047619,3389.96138996139
other,1162.0,2.0,1.0,2.0,59.9,55.55739487734491,5154.9053356282275
Sarjapur  Road,1035.0,2.0,2.0,2.0,49.2,49.41579336913083,4753.623188405797
other,1600.0,4.0,0.0,4.0,52.8,128.96833333333333,3300.0
other,1464.0,3.0,2.0,3.0,46.0,55.135829556580305,3142.0765027322404
Hennur Road,1866.0,2.0,2.0,3.0,61.58,92.33999999999996,3300.10718113612
other,700.0,1.0,1.0,2.0,26.0,25.83376190476191,3714.285714285714
other,1804.0,3.0,2.0,3.0,120.0,147.6120833333334,6651.884700665189
other,913.0,2.0,1.0,2.0,32.0,35.98706666666668,3504.9288061336256
other,1868.0,3.0,2.0,3.0,131.0,136.9418380952381,7012.847965738758
other,883.0,2.0,1.0,2.0,45.0,41.50764799341012,5096.262740656852
other,900.0,2.0,1.0,2.0,110.0,52.37462243048155,12222.222222222223
other,1664.0,2.0,3.0,3.0,73.95,88.66699999999996,4444.110576923077
other,2026.0,3.0,2.0,3.0,132.0,139.975,6515.301085883514
other,1210.0,2.0,1.0,2.0,80.9,78.2360498749028,6685.950413223141
other,4111.0,4.0,2.0,4.0,250.0,327.25,6081.24543906592
other,1762.0,3.0,3.0,3.0,91.45,106.24463134920637,5190.124858115778
other,1252.0,3.0,3.0,3.0,55.0,56.83893333333332,4392.97124600639
other,861.0,2.0,1.0,2.0,34.5,34.535949999999985,4006.968641114983
7th Phase JP Nagar,1420.0,2.0,1.0,3.0,100.0,84.94480909090908,7042.2535211267605
other,1450.0,6.0,0.0,6.0,250.0,213.72833333333332,17241.379310344826
other,1490.0,3.0,1.0,3.0,78.8,89.91960833333333,5288.5906040268455
other,1075.0,2.0,1.0,3.0,46.0,41.77439848548115,4279.069767441861
other,1425.0,2.0,2.0,3.0,94.0,67.39399805555558,6596.491228070176
other,1200.0,2.0,1.0,2.0,40.0,66.6977315562278,3333.3333333333335
other,1280.0,2.0,2.0,3.0,56.0,52.897330000000004,4375.0
other,1084.0,2.0,2.0,2.0,50.0,55.236875,4612.546125461255
other,1015.0,2.0,2.0,2.0,25.88,37.84695487623488,2549.753694581281
Kanakpura Road,1017.0,2.0,1.0,2.0,51.25,51.02045000000001,5039.331366764995
Haralur Road,1027.0,2.0,2.0,2.0,44.0,43.83223595848596,4284.323271665044
Electronic City Phase II,1069.0,2.0,2.0,2.0,45.0,44.201100000000004,4209.541627689429
Hebbal,1349.0,2.0,1.0,2.0,98.2,97.76689365079363,7279.466271312083
other,1005.0,2.0,1.0,2.0,50.0,47.80680589105339,4975.124378109453
other,1417.0,2.0,3.0,2.0,75.0,82.12373549783551,5292.87226534933
other,1475.0,3.0,1.0,3.0,98.0,81.56019,6644.067796610169
other,950.0,2.0,2.0,2.0,47.0,42.05891222666222,4947.368421052632
other,2000.0,4.0,0.0,4.0,120.0,107.5949206349206,6000.0
other,880.0,3.0,1.0,3.0,140.0,100.17266666666666,15909.09090909091
Sarjapur  Road,1863.0,3.0,2.0,4.0,104.0,117.4125,5582.393988191089
other,1010.0,2.0,1.0,2.0,29.5,42.28568482335932,2920.792079207921
other,1425.0,2.0,1.0,3.0,70.0,78.44168277777777,4912.2807017543855
other,1450.0,3.0,0.0,3.0,100.0,92.02686904761907,6896.551724137931
other,1847.0,3.0,2.0,3.0,105.0,119.56721933621934,5684.89442338928
other,1100.0,2.0,3.0,2.0,45.0,60.7316618736455,4090.909090909091
Kanakpura Road,525.0,1.0,1.0,1.0,26.0,27.865932864101424,4952.380952380952
other,1665.0,3.0,2.0,3.0,95.0,88.41328624153623,5705.705705705705
other,1664.0,4.0,3.0,4.0,65.0,130.72,3906.25
other,1850.0,3.0,3.0,3.0,150.0,100.93120021645022,8108.108108108108
other,1438.0,2.0,3.0,2.0,100.0,97.62184047619044,6954.102920723227
other,1560.0,3.0,3.0,3.0,115.0,83.6865,7371.794871794872
Yelahanka,1350.0,2.0,1.0,2.0,55.55,64.64055000000006,4114.814814814815
Kanakpura Road,1550.0,3.0,3.0,3.0,67.0,64.98792504329008,4322.580645161291
other,1140.0,2.0,2.0,2.0,46.5,48.15450264854517,4078.9473684210525
other,1200.0,5.0,2.0,5.0,180.0,107.41778571428577,15000.0
other,850.0,2.0,2.0,2.0,27.0,40.798682539682545,3176.470588235294
Whitefield,1280.0,2.0,2.0,2.0,75.0,60.40420761904758,5859.375
other,1170.0,2.0,2.0,2.0,52.0,61.03580080609331,4444.444444444444
other,1113.0,2.0,1.0,2.0,51.0,54.306606060606036,4582.210242587601
Hennur Road,1385.0,2.0,1.0,2.0,83.09,81.75510000000008,5999.27797833935
Electronic City,1128.0,2.0,1.0,2.0,65.0,65.28074213213439,5762.41134751773
Marathahalli,1200.0,2.0,2.0,2.0,128.0,77.55092857142857,10666.666666666666
other,1200.0,4.0,3.0,4.0,165.0,168.7786024531024,13750.0
other,2390.0,3.0,2.0,3.0,415.0,277.8695154600302,17364.016736401674
other,2400.0,4.0,1.0,4.0,400.0,238.47409168609175,16666.666666666668
Haralur Road,1464.0,3.0,2.0,3.0,56.0,55.99285714285714,3825.136612021858
other,1200.0,2.0,2.0,2.0,55.0,57.5871973877602,4583.333333333333
other,1200.0,2.0,2.0,2.0,52.0,57.5871973877602,4333.333333333333
other,1150.0,2.0,1.0,3.0,55.0,63.86914291666666,4782.608695652174
other,1645.0,3.0,2.0,3.0,95.0,96.81089285714285,5775.075987841945
Sarjapur  Road,1000.0,2.0,1.0,2.0,67.0,54.819624999999995,6700.0
Haralur Road,2650.0,4.0,2.0,4.0,198.0,197.91666666666669,7471.698113207547
other,1192.0,2.0,2.0,2.0,74.0,62.34001438456152,6208.053691275168
other,2135.0,3.0,2.0,3.0,215.0,177.13166666666663,10070.257611241217
Whitefield,1173.0,2.0,1.0,2.0,58.0,70.37785873015872,4944.58653026428
Uttarahalli,1020.0,2.0,2.0,2.0,45.0,44.91504218697972,4411.764705882353
other,3122.0,6.0,2.0,4.0,230.0,248.3837554112554,7367.072389493914
other,1600.0,3.0,3.0,3.0,64.0,95.40892380778836,4000.0
other,1200.0,2.0,0.0,2.0,79.0,75.83622885487857,6583.333333333333
other,1230.0,2.0,3.0,2.0,48.0,52.99833333333332,3902.439024390244
other,1250.0,2.0,2.0,2.0,40.0,67.45914489512882,3200.0
other,1325.0,2.0,2.0,2.0,76.0,71.77600564713065,5735.8490566037735
7th Phase JP Nagar,1850.0,3.0,1.0,3.0,150.0,149.24,8108.108108108108
other,1200.0,2.0,2.0,2.0,65.0,57.5871973877602,5416.666666666667
other,1350.0,2.0,0.0,3.0,140.0,108.83308253968255,10370.37037037037
other,1260.0,3.0,1.0,3.0,49.36,51.88784999999997,3917.4603174603176
other,1800.0,3.0,0.0,3.0,150.0,139.38815476190476,8333.333333333334
other,1100.0,2.0,1.0,2.0,43.25,56.64297445552915,3931.818181818182
other,1508.0,2.0,1.0,2.0,77.0,71.20916666666668,5106.100795755968
other,1592.0,3.0,2.0,3.0,75.0,81.47316666666667,4711.05527638191
other,1388.0,2.0,3.0,2.0,57.0,68.08666666666666,4106.628242074928
Electronic City Phase II,630.0,1.0,1.0,1.0,28.35,38.67306666666667,4500.0
other,2000.0,3.0,2.0,3.0,365.0,140.17675117631924,18250.0
other,1762.0,3.0,1.0,3.0,125.0,119.80800000000005,7094.211123723042
other,950.0,2.0,2.0,2.0,50.0,42.05891222666222,5263.1578947368425
other,3252.0,5.0,3.0,4.0,335.0,341.04,10301.353013530135
