location,total_sqft,bath,balcony,bhk,price
other,4400.0,6.0,3.0,6.0,250.0
other,1660.0,2.0,2.0,3.0,105.0
Yelahanka,1326.0,2.0,2.0,2.0,78.0
other,1325.0,2.0,2.0,3.0,60.8
other,1499.0,5.0,2.0,3.0,102.0
other,3000.0,7.0,2.0,6.0,210.0
Kanakpura Road,1665.0,3.0,2.0,3.0,88.0
other,708.0,2.0,2.0,2.0,37.0
other,1060.0,2.0,2.0,2.0,58.06
other,710.0,6.0,3.0,6.0,160.0
other,1000.0,2.0,2.0,2.0,70.0
Electronic City,1000.0,2.0,1.0,2.0,28.88
other,1450.0,2.0,2.0,3.0,70.0
other,1200.0,4.0,2.0,4.0,155.0
Thanisandra,1296.0,2.0,3.0,2.0,80.0
other,1540.0,3.0,2.0,3.0,90.0
other,2894.0,4.0,1.0,4.0,245.0
other,1330.0,2.0,1.0,3.0,48.0
other,1200.0,2.0,1.0,2.0,65.0
other,1200.0,3.0,1.0,3.0,90.0
other,2502.0,3.0,3.0,3.0,138.0
other,650.0,1.0,1.0,2.0,17.0
other,2400.0,2.0,1.0,3.0,150.0
other,1007.0,2.0,2.0,2.0,43.0
other,1200.0,2.0,2.0,2.0,50.0
other,966.0,2.0,2.0,2.0,49.9
other,1630.0,2.0,1.0,3.0,98.0
other,1640.0,3.0,2.0,3.0,229.0
other,782.0,2.0,2.0,2.0,55.68
other,1260.0,2.0,2.0,2.0,66.78
other,1800.0,3.0,3.0,3.0,120.0
other,1413.0,2.0,2.0,3.0,75.0
Whitefield,1116.0,2.0,1.0,2.0,51.91
Electronic City,1530.0,2.0,1.0,3.0,45.9
other,3700.0,4.0,1.0,4.0,225.0
Sarjapur  Road,2497.0,3.0,2.0,3.0,140.0
other,1540.0,2.0,3.0,3.0,64.0
Thanisandra,1436.0,3.0,1.0,3.0,74.75
other,1100.0,2.0,2.0,2.0,75.0
Hennur Road,276.0,3.0,3.0,2.0,23.0
Thanisandra,1427.0,3.0,2.0,3.0,120.0
other,2061.0,3.0,1.0,3.0,200.0
Hebbal,5611.5,4.0,0.0,4.0,477.0
other,2650.0,4.0,2.0,4.0,150.0
other,1282.0,2.0,2.0,3.0,68.52
other,1050.0,2.0,1.0,2.0,34.0
other,1600.0,3.0,2.0,3.0,65.0
other,945.0,2.0,1.0,2.0,54.0
other,1500.0,2.0,1.0,2.0,78.0
other,950.0,7.0,0.0,7.0,115.0
other,1870.0,3.0,3.0,3.0,110.0
other,1600.0,3.0,1.0,3.0,75.0
Electronic City,880.0,1.0,1.0,2.0,16.5
other,1200.0,4.0,0.0,4.0,210.0
other,1535.0,3.0,2.0,3.0,83.0
Kanakpura Road,950.0,2.0,1.0,2.0,57.0
other,1360.0,2.0,1.0,2.0,65.0
other,1073.5,2.0,0.0,2.0,54.005
other,1280.0,3.0,1.0,3.0,50.4
other,1260.0,2.0,2.0,3.0,85.05
Hennur Road,5000.0,8.0,0.0,8.0,250.0
Yelahanka,3050.0,5.0,1.0,5.0,213.0
other,1563.05,3.0,1.0,3.0,105.0
other,1000.0,2.0,1.0,2.0,60.0
other,1167.0,2.0,1.0,2.0,43.76
other,4000.0,7.0,2.0,7.0,225.0
other,1828.0,3.0,0.0,3.0,110.0
other,890.0,2.0,1.0,2.0,35.0
other,1612.0,3.0,3.0,3.0,46.74
other,1034.0,5.0,0.0,6.0,185.0
other,1710.0,4.0,2.0,3.0,91.31
other,957.0,2.0,1.0,2.0,58.0
other,1250.0,2.0,3.0,3.0,44.0
other,2795.0,4.0,0.0,3.0,235.0
other,1125.0,2.0,2.0,2.0,50.0
Electronic City Phase II,1020.0,2.0,1.0,2.0,30.6
other,1200.0,2.0,2.0,2.0,50.0
Thanisandra,1735.0,3.0,3.0,3.0,135.0
Thanisandra,2050.0,3.0,1.0,3.0,145.0
other,3750.0,4.0,0.0,4.0,760.0
other,1350.0,2.0,3.0,3.0,48.0
other,1063.0,2.0,1.0,2.0,32.0
other,1904.0,3.0,1.0,3.0,150.0
Whitefield,4200.0,4.0,2.0,4.0,420.0
other,2000.0,3.0,1.0,3.0,175.0
other,1242.5,2.0,0.0,2.0,43.49
other,1425.0,2.0,2.0,3.0,75.0
Electronic City,1500.0,2.0,1.0,3.0,64.5
Electronic City,1060.0,2.0,1.0,2.0,60.0
other,1470.0,2.0,2.0,3.0,70.0
other,1300.0,6.0,0.0,6.0,99.0
other,450.0,1.0,1.0,1.0,11.0
Electronic City,1152.0,2.0,1.0,2.0,64.5
Electronic City,1350.0,2.0,1.0,3.0,56.0
other,1550.0,3.0,3.0,3.0,65.0
other,1500.0,3.0,2.0,3.0,100.0
other,600.0,3.0,2.0,5.0,85.0
other,400.0,1.0,0.0,1.0,14.0
other,705.0,1.0,2.0,1.0,67.0
Electronic City,770.0,1.0,1.0,2.0,36.0
other,1242.0,2.0,3.0,2.0,51.0
other,1700.0,3.0,2.0,3.0,155.0
Thanisandra,2144.0,3.0,2.0,3.0,145.0
other,1704.0,3.0,2.0,3.0,110.0
Electronic City,1070.0,2.0,1.0,2.0,52.0
other,1846.0,3.0,2.0,3.0,300.0
other,1340.0,2.0,2.0,2.0,55.7
Electronic City,1025.0,2.0,1.0,2.0,46.0
other,1277.5,2.0,0.0,2.0,56.8
Marathahalli,1200.0,2.0,2.0,2.0,52.0
Kanakpura Road,2250.0,4.0,1.0,4.0,110.0
other,1550.0,2.0,3.0,3.0,80.0
other,1800.0,7.0,1.0,7.0,250.0
Marathahalli,1200.0,2.0,2.0,2.0,60.0
Yelahanka,1327.0,2.0,2.0,2.0,98.0
other,1186.0,2.0,2.0,2.0,58.0
other,1783.0,3.0,1.0,3.0,115.0
other,1400.0,3.0,2.0,3.0,56.0
other,980.0,2.0,1.0,2.0,48.0
other,1285.0,2.0,2.0,2.0,82.0
other,912.0,2.0,1.0,3.0,70.0
Whitefield,1225.0,2.0,2.0,2.0,47.6
Whitefield,1075.0,2.0,1.0,2.0,53.0
other,1260.0,2.0,2.0,3.0,54.0
Yelahanka,1282.0,2.0,2.0,3.0,48.7
other,1909.0,3.0,2.0,3.0,88.0
other,1359.0,2.0,1.0,2.0,87.0
other,1207.0,2.0,2.0,2.0,43.5
other,1736.0,6.0,0.0,4.0,190.0
other,2850.0,4.0,1.0,4.0,428.0
other,1595.0,3.0,2.0,3.0,65.0
other,1798.0,3.0,2.0,3.0,89.0
other,1475.0,3.0,2.0,3.0,78.29
other,1580.0,3.0,3.0,3.0,100.0
other,1295.0,2.0,1.0,2.0,65.0
other,3600.0,6.0,0.0,6.0,141.0
Electronic City,589.0,1.0,1.0,1.0,27.0
other,1415.0,3.0,3.0,3.0,78.0
Sarjapur  Road,1787.0,3.0,2.0,3.0,98.29
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0
other,1475.0,2.0,3.0,3.0,90.0
other,2000.0,4.0,1.0,4.0,75.5
Sarjapur  Road,984.0,2.0,1.0,2.0,44.28
other,2405.0,4.0,2.0,3.0,260.0
7th Phase JP Nagar,1080.0,2.0,2.0,2.0,72.0
other,1500.0,2.0,1.0,2.0,115.0
Hebbal,1900.0,3.0,2.0,3.0,119.0
other,805.0,2.0,1.0,2.0,22.14
other,1153.0,2.0,2.0,2.0,56.4
other,1148.0,2.0,2.0,2.0,60.0
other,1110.0,2.0,2.0,2.0,55.0
Electronic City,1100.0,2.0,2.0,2.0,42.0
other,1290.0,2.0,2.0,2.0,110.0
other,1500.0,2.0,1.0,3.0,65.0
other,1080.0,2.0,2.0,2.0,39.0
other,1933.0,3.0,1.0,3.0,129.0
other,3500.0,5.0,2.0,5.0,150.0
other,1060.0,2.0,2.0,2.0,60.0
other,645.0,1.0,1.0,1.0,16.45
other,2600.0,8.0,2.0,8.0,180.0
other,645.0,1.0,1.0,1.0,16.45
other,1644.0,3.0,3.0,3.0,84.0
other,1285.0,2.0,3.0,2.0,72.5
Electronic City,1200.0,3.0,1.0,3.0,90.0
Electronic City,910.0,2.0,1.0,2.0,40.0
other,1577.0,3.0,1.0,3.0,70.0
other,4050.0,3.0,2.0,3.0,280.0
other,2420.0,3.0,2.0,3.0,185.0
other,800.0,1.0,1.0,2.0,20.0
other,1060.0,2.0,2.0,2.0,55.0
7th Phase JP Nagar,1270.0,2.0,2.0,2.0,93.0
other,900.0,2.0,2.0,2.0,22.5
other,1280.0,2.0,1.0,2.0,69.0
other,1200.0,2.0,0.0,4.0,95.0
Sarjapur  Road,1025.0,2.0,2.0,2.0,36.0
Electronic City,1108.0,2.0,1.0,2.0,63.0
other,1200.0,5.0,0.0,5.0,170.0
other,3045.0,3.0,2.0,3.0,170.0
other,2900.0,3.0,2.0,4.0,300.0
other,1500.0,3.0,2.0,3.0,75.5
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2.0,43.9
other,1162.0,2.0,1.0,2.0,59.9
Sarjapur  Road,1035.0,2.0,2.0,2.0,49.2
other,1600.0,4.0,0.0,4.0,52.8
other,1464.0,3.0,2.0,3.0,46.0
Hennur Road,1866.0,2.0,2.0,3.0,61.58
other,700.0,1.0,1.0,2.0,26.0
other,1804.0,3.0,2.0,3.0,120.0
other,913.0,2.0,1.0,2.0,32.0
other,1868.0,3.0,2.0,3.0,131.0
other,883.0,2.0,1.0,2.0,45.0
other,900.0,2.0,1.0,2.0,110.0
other,1664.0,2.0,3.0,3.0,73.95
other,2026.0,3.0,2.0,3.0,132.0
other,1210.0,2.0,1.0,2.0,80.9
other,4111.0,4.0,2.0,4.0,250.0
other,1762.0,3.0,3.0,3.0,91.45
other,1252.0,3.0,3.0,3.0,55.0
other,861.0,2.0,1.0,2.0,34.5
7th Phase JP Nagar,1420.0,2.0,1.0,3.0,100.0
other,1450.0,6.0,0.0,6.0,250.0
other,1490.0,3.0,1.0,3.0,78.8
other,1075.0,2.0,1.0,3.0,46.0
other,1425.0,2.0,2.0,3.0,94.0
other,1200.0,2.0,1.0,2.0,40.0
other,1280.0,2.0,2.0,3.0,56.0
other,1084.0,2.0,2.0,2.0,50.0
other,1015.0,2.0,2.0,2.0,25.88
Kanakpura Road,1017.0,2.0,1.0,2.0,51.25
Haralur Road,1027.0,2.0,2.0,2.0,44.0
Electronic City Phase II,1069.0,2.0,2.0,2.0,45.0
Hebbal,1349.0,2.0,1.0,2.0,98.2
other,1005.0,2.0,1.0,2.0,50.0
other,1417.0,2.0,3.0,2.0,75.0
other,1475.0,3.0,1.0,3.0,98.0
other,950.0,2.0,2.0,2.0,47.0
other,2000.0,4.0,0.0,4.0,120.0
other,880.0,3.0,1.0,3.0,140.0
Sarjapur  Road,1863.0,3.0,2.0,4.0,104.0
other,1010.0,2.0,1.0,2.0,29.5
other,1425.0,2.0,1.0,3.0,70.0
other,1450.0,3.0,0.0,3.0,100.0
other,1847.0,3.0,2.0,3.0,105.0
other,1100.0,2.0,3.0,2.0,45.0
Kanakpura Road,525.0,1.0,1.0,1.0,26.0
other,1665.0,3.0,2.0,3.0,95.0
other,1664.0,4.0,3.0,4.0,65.0
other,1850.0,3.0,3.0,3.0,150.0
other,1438.0,2.0,3.0,2.0,100.0
other,1560.0,3.0,3.0,3.0,115.0
Yelahanka,1350.0,2.0,1.0,2.0,55.55
Kanakpura Road,1550.0,3.0,3.0,3.0,67.0
other,1140.0,2.0,2.0,2.0,46.5
other,1200.0,5.0,2.0,5.0,180.0
other,850.0,2.0,2.0,2.0,27.0
Whitefield,1280.0,2.0,2.0,2.0,75.0
other,1170.0,2.0,2.0,2.0,52.0
other,1113.0,2.0,1.0,2.0,51.0
Hennur Road,1385.0,2.0,1.0,2.0,83.09
Electronic City,1128.0,2.0,1.0,2.0,65.0
Marathahalli,1200.0,2.0,2.0,2.0,128.0
other,1200.0,4.0,3.0,4.0,165.0
other,2390.0,3.0,2.0,3.0,415.0
other,2400.0,4.0,1.0,4.0,400.0
Haralur Road,1464.0,3.0,2.0,3.0,56.0
other,1200.0,2.0,2.0,2.0,55.0
other,1200.0,2.0,2.0,2.0,52.0
other,1150.0,2.0,1.0,3.0,55.0
other,1645.0,3.0,2.0,3.0,95.0
Sarjapur  Road,1000.0,2.0,1.0,2.0,67.0
Haralur Road,2650.0,4.0,2.0,4.0,198.0
other,1192.0,2.0,2.0,2.0,74.0
other,2135.0,3.0,2.0,3.0,215.0
Whitefield,1173.0,2.0,1.0,2.0,58.0
Uttarahalli,1020.0,2.0,2.0,2.0,45.0
other,3122.0,6.0,2.0,4.0,230.0
other,1600.0,3.0,3.0,3.0,64.0
other,1200.0,2.0,0.0,2.0,79.0
other,1230.0,2.0,3.0,2.0,48.0
other,1250.0,2.0,2.0,2.0,40.0
other,1325.0,2.0,2.0,2.0,76.0
7th Phase JP Nagar,1850.0,3.0,1.0,3.0,150.0
other,1200.0,2.0,2.0,2.0,65.0
other,1350.0,2.0,0.0,3.0,140.0
other,1260.0,3.0,1.0,3.0,49.36
other,1800.0,3.0,0.0,3.0,150.0
other,1100.0,2.0,1.0,2.0,43.25
other,1508.0,2.0,1.0,2.0,77.0
other,1592.0,3.0,2.0,3.0,75.0
other,1388.0,2.0,3.0,2.0,57.0
Electronic City Phase II,630.0,1.0,1.0,1.0,28.35
other,2000.0,3.0,2.0,3.0,365.0
other,1762.0,3.0,1.0,3.0,125.0
other,950.0,2.0,2.0,2.0,50.0
other,3252.0,5.0,3.0,4.0,335.0
other,1116.0,2.0,1.0,2.0,50.0
other,1308.0,2.0,2.0,2.0,89.04
other,1200.0,3.0,0.0,3.0,90.0
other,1500.0,4.0,2.0,4.0,230.0
Bannerghatta Road,500.0,1.0,1.0,1.0,18.5
other,1075.0,2.0,1.0,2.0,52.0
other,530.0,1.0,0.0,1.0,11.66
other,1205.0,2.0,3.0,2.0,66.0
other,1075.0,2.0,2.0,2.0,60.0
other,930.0,2.0,2.0,2.0,39.0
other,1380.0,2.0,1.0,2.0,60.0
Hebbal,2483.0,5.0,2.0,4.0,212.0
other,1166.0,2.0,2.0,2.0,55.0
Bannerghatta Road,1050.0,2.0,1.0,2.0,65.0
other,2023.71,3.0,2.0,3.0,275.0
other,1200.0,2.0,2.0,2.0,46.8
other,1600.0,2.0,1.0,3.0,108.0
other,1935.0,3.0,2.0,3.0,110.0
other,451.0,1.0,0.0,1.0,29.9
Electronic City,1800.0,3.0,2.0,3.0,95.0
other,1400.0,3.0,0.0,3.0,77.0
other,1801.0,3.0,2.0,3.0,115.0
other,1451.0,2.0,0.0,2.0,90.0
other,1200.0,1.0,1.0,2.0,36.0
other,1160.0,2.0,2.0,2.0,44.0
other,1000.0,2.0,1.0,2.0,25.0
Kanakpura Road,950.0,2.0,1.0,2.0,40.0
other,1629.0,3.0,2.0,3.0,79.0
other,1580.0,2.0,0.0,3.0,134.0
other,1826.0,3.0,2.0,3.0,121.0
7th Phase JP Nagar,1245.0,2.0,1.0,2.0,94.0
Raja Rajeshwari Nagar,1145.0,2.0,2.0,2.0,45.79
other,825.0,2.0,1.0,2.0,33.0
other,1693.0,3.0,3.0,3.0,108.0
other,1113.27,2.0,2.0,2.0,53.0
other,1460.0,2.0,1.0,2.0,58.0
other,1050.0,2.0,1.0,2.0,32.0
other,1260.0,2.0,2.0,2.0,55.0
other,700.0,3.0,0.0,6.0,120.0
other,1656.0,2.0,1.0,2.0,120.0
other,1208.0,3.0,1.0,3.0,45.0
Whitefield,1910.0,3.0,2.0,3.0,161.0
Whitefield,3252.0,4.0,1.0,4.0,230.0
other,1200.0,2.0,1.0,2.0,65.0
other,1200.0,4.0,1.0,4.0,175.0
7th Phase JP Nagar,1175.0,2.0,1.0,2.0,82.0
other,1000.0,2.0,0.0,2.0,165.0
Bannerghatta Road,1200.0,2.0,0.0,4.0,125.0
other,2390.0,3.0,2.0,3.0,410.0
other,12000.0,6.0,3.0,7.0,2200.0
other,550.0,1.0,1.0,2.0,62.0
other,1185.0,2.0,0.0,2.0,38.0
other,750.0,2.0,1.0,2.0,38.0
other,1200.0,7.0,3.0,6.0,250.0
Kanakpura Road,1550.0,3.0,3.0,3.0,64.5
other,1760.0,3.0,2.0,3.0,88.0
other,1125.0,2.0,2.0,2.0,62.0
other,1350.0,3.0,2.0,3.0,150.0
other,1000.0,2.0,1.0,2.0,55.0
other,1090.0,2.0,2.0,2.0,31.48
other,1200.0,2.0,0.0,2.0,60.0
other,1991.0,4.0,2.0,3.0,103.0
other,1060.0,2.0,1.0,2.0,26.5
other,1105.0,2.0,1.0,2.0,75.0
other,985.0,2.0,2.0,2.0,67.0
other,1533.0,5.0,3.0,6.0,85.0
other,1590.0,3.0,2.0,3.0,79.0
other,1120.0,2.0,2.0,2.0,55.0
other,1069.0,2.0,1.0,2.0,55.0
Marathahalli,1933.0,3.0,2.0,3.0,140.0
other,1194.0,2.0,0.0,2.0,69.0
other,1150.0,2.0,3.0,2.0,69.0
other,1240.0,2.0,2.0,2.0,47.12
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2.0,48.1
7th Phase JP Nagar,1200.0,8.0,0.0,8.0,250.0
other,2150.0,4.0,0.0,3.0,240.0
other,1450.0,3.0,2.0,3.0,55.0
other,1630.0,3.0,2.0,3.0,68.29
other,708.0,1.0,1.0,2.0,40.0
other,1000.0,4.0,3.0,3.0,110.0
Whitefield,11890.0,4.0,3.0,4.0,700.0
other,1250.0,2.0,1.0,2.0,76.0
7th Phase JP Nagar,1400.0,2.0,1.0,3.0,95.0
Sarjapur  Road,1670.0,2.0,3.0,3.0,57.0
other,1750.0,3.0,2.0,3.0,100.0
other,1404.0,2.0,1.0,2.0,71.0
other,1715.0,2.0,2.0,3.0,95.0
Electronic City,630.0,1.0,1.0,1.0,34.65
other,1752.12,3.0,2.0,3.0,135.0
other,1650.0,3.0,2.0,3.0,78.0
Raja Rajeshwari Nagar,1295.0,2.0,1.0,2.0,55.47
other,1800.0,3.0,2.0,3.0,252.0
Sarjapur  Road,1346.0,2.0,1.0,2.0,74.03
other,1200.0,4.0,2.0,4.0,200.0
other,1150.0,2.0,2.0,2.0,55.0
other,3309.0,4.0,3.0,4.0,325.0
other,1190.0,2.0,2.0,3.0,30.35
other,1620.0,3.0,2.0,3.0,98.0
Marathahalli,950.0,2.0,1.0,2.0,46.96
other,5000.0,9.0,3.0,11.0,360.0
other,2450.0,3.0,0.0,3.0,120.0
Electronic City Phase II,1220.0,2.0,1.0,3.0,35.23
other,850.0,2.0,1.0,2.0,30.0
other,1020.0,2.0,2.0,2.0,63.0
other,1100.0,2.0,2.0,2.0,50.0
other,1150.0,2.0,2.0,2.0,126.0
Hebbal,1760.0,2.0,2.0,3.0,130.0
other,1800.0,3.0,3.0,3.0,110.0
other,1070.0,2.0,1.0,2.0,54.0
other,1500.0,4.0,2.0,4.0,220.0
other,1440.0,2.0,0.0,2.0,95.0
other,900.0,2.0,1.0,2.0,40.0
other,1200.0,4.0,1.0,4.0,230.0
Whitefield,1130.0,2.0,1.0,2.0,42.16
other,1320.0,2.0,1.0,2.0,165.0
other,1270.0,2.0,1.0,2.0,98.0
other,1200.0,2.0,1.0,2.0,62.0
other,4800.0,4.0,0.0,4.0,235.0
other,1200.0,2.0,1.0,2.0,74.0
other,929.0,2.0,0.0,2.0,50.17
other,1150.0,4.0,2.0,4.0,260.0
other,1125.0,4.0,3.0,4.0,180.0
other,500.0,3.0,2.0,5.0,65.0
other,1200.0,5.0,2.0,5.0,190.0
other,1464.0,3.0,2.0,3.0,56.0
7th Phase JP Nagar,3600.0,4.0,3.0,4.0,400.0
other,2000.0,4.0,2.0,4.0,99.0
other,1208.0,2.0,1.0,2.0,49.0
other,1130.0,2.0,2.0,2.0,60.0
other,1753.0,3.0,2.0,3.0,120.0
other,4500.0,7.0,3.0,5.0,337.0
other,600.0,3.0,2.0,3.0,58.0
other,1196.0,2.0,2.0,2.0,94.42
other,1150.0,3.0,3.0,2.0,52.5
Electronic City,1128.0,2.0,1.0,2.0,63.0
other,1000.0,2.0,1.0,2.0,53.0
Yelahanka,1035.0,2.0,1.0,2.0,45.0
other,950.0,2.0,1.0,2.0,32.0
other,1075.0,2.0,1.0,3.0,36.0
Whitefield,1040.0,2.0,1.0,2.0,48.5
other,720.0,2.0,1.0,2.0,45.0
other,1511.0,3.0,1.0,3.0,95.0
other,1300.0,3.0,1.0,3.0,58.0
other,1545.0,3.0,1.0,3.0,68.75
other,375.0,2.0,0.0,1.0,26.0
other,1062.0,2.0,3.0,2.0,38.0
other,1115.0,2.0,1.0,2.0,40.0
other,1000.0,2.0,1.0,2.0,35.0
other,883.0,2.0,1.0,2.0,45.0
Sarjapur  Road,1195.0,2.0,1.0,2.0,70.0
other,1200.0,3.0,1.0,4.0,165.0
other,700.0,1.0,0.0,1.0,41.0
other,1246.0,2.0,1.0,2.0,67.0
other,660.0,4.0,2.0,4.0,90.0
other,8500.0,4.0,2.0,4.0,145.0
other,1600.0,4.0,1.0,4.0,80.0
Haralur Road,2805.0,5.0,3.0,4.0,154.0
other,1584.0,3.0,0.0,3.0,65.0
other,3000.0,5.0,1.0,4.0,275.0
other,1175.0,2.0,2.0,3.0,48.0
other,1595.0,3.0,2.0,3.0,115.0
other,1353.0,2.0,2.0,2.0,110.0
Electronic City,1599.0,3.0,2.0,3.0,125.0
Whitefield,1150.0,2.0,1.0,2.0,70.0
other,5230.0,6.0,1.0,4.0,465.0
other,1155.0,2.0,2.0,2.0,42.74
other,1200.0,2.0,0.0,1.0,85.0
Electronic City Phase II,1000.0,2.0,1.0,2.0,25.0
Thanisandra,3000.0,4.0,0.0,4.0,120.0
other,1867.0,3.0,1.0,3.0,160.0
other,1251.0,2.0,1.0,2.0,47.0
other,1028.0,2.0,1.0,2.0,45.5
other,1222.0,2.0,2.0,2.0,45.0
Bannerghatta Road,1170.0,2.0,1.0,3.0,66.0
Hebbal,2400.0,4.0,1.0,3.0,245.0
other,1385.0,2.0,2.0,3.0,48.48
other,1372.0,2.0,1.0,2.0,68.0
other,1282.0,2.0,2.0,3.0,49.0
other,5000.0,9.0,3.0,9.0,210.0
other,3000.0,3.0,1.0,5.0,528.0
Kanakpura Road,1135.0,2.0,1.0,2.0,39.73
Whitefield,1768.0,3.0,2.0,3.0,101.0
other,1325.0,2.0,1.0,3.0,90.0
Electronic City,1599.0,3.0,2.0,3.0,99.0
Whitefield,1500.0,3.0,1.0,3.0,61.95
other,2610.0,3.0,0.0,3.0,499.0
Uttarahalli,1286.0,2.0,2.0,2.0,63.0
other,2845.0,5.0,1.0,5.0,140.0
other,1600.0,2.0,0.0,3.0,50.0
Hennur Road,1317.5,2.0,0.0,2.0,63.77
Hebbal,3450.0,5.0,2.0,3.0,260.0
other,1102.0,2.0,2.0,2.0,53.67
Yelahanka,1350.0,2.0,2.0,2.0,54.0
other,1200.0,2.0,2.0,3.0,42.0
other,1300.0,6.0,0.0,6.0,145.0
other,1800.0,1.0,1.0,2.0,80.0
other,950.0,2.0,1.0,2.0,40.0
Kanakpura Road,525.0,1.0,1.0,1.0,27.25
other,656.0,2.0,1.0,2.0,25.0
Marathahalli,1780.0,4.0,3.0,4.0,175.0
other,1056.0,2.0,1.0,2.0,80.0
Bannerghatta Road,595.0,1.0,1.0,1.0,33.32
other,1080.0,2.0,2.0,2.0,50.0
7th Phase JP Nagar,2225.0,3.0,1.0,3.0,160.0
other,1126.0,2.0,1.0,2.0,28.15
other,1490.0,3.0,1.0,3.0,84.0
other,2000.0,4.0,1.0,4.0,300.0
Sarjapur  Road,1550.0,3.0,3.0,3.0,100.0
other,1160.0,2.0,1.0,2.0,55.0
Whitefield,4144.0,4.0,3.0,4.0,315.0
Sarjapur  Road,2100.0,3.0,2.0,3.0,125.0
other,1404.0,2.0,1.0,2.0,69.3
Sarjapur  Road,2230.0,4.0,3.0,4.0,225.0
other,1544.0,3.0,0.0,3.0,120.0
other,1305.0,2.0,1.0,3.0,58.7
Marathahalli,1230.0,2.0,2.0,2.0,80.0
other,1200.0,2.0,0.0,2.0,65.0
other,1460.0,3.0,1.0,3.0,73.0
other,967.0,2.0,3.0,2.0,45.0
